complaint,incident_date,county,incident_zip,complaint_type,complaint_description,recieved_date,incident_status_desc,incident_closed_date
232264,2024-03-06,Prince George's,,Other,concern of loud noise in the Cheverly area,2024-03-06,Incident Closed-Managed,2024-03-08
232263,2024-03-06,Prince George's,,Other,concern of loud noise in the Cheverly area,2024-03-06,Incident Closed-Managed,2024-03-08
232262,2024-03-06,Prince George's,,Other,concern of loud noise in the Cheverly area,2024-03-06,Incident Closed-Managed,2024-03-08
232261,2024-03-06,Prince George's,,Other,concern of loud noise in the Cheverly area,2024-03-06,Incident Closed-Managed,2024-03-08
232260,2024-03-06,Prince George's,,Other,concern of loud noise in the Cheverly area,2024-03-06,Incident Closed-Managed,2024-03-08
232259,2024-03-06,Prince George's,,Other,concern of loud noise in the Cheverly area,2024-03-06,Incident Closed-Managed,2024-03-08
232258,2024-03-06,Prince George's,,Other,concern of loud noise in the Cheverly area,2024-03-06,Incident Closed-Managed,2024-03-08
232257,2024-03-06,Prince George's,,Other,concern of loud noise in the Cheverly area,2024-03-06,Incident Closed-Managed,2024-03-08
232253,2024-03-07,Anne Arundel,,Air,Complainant states odors from Stahl Point Road and states Interstate Racing fuels.,2024-03-07,Under Investigation,
232252,2024-03-06,Anne Arundel,,Air,"Complainant states odor from the Curtis Medical Waste facility, odor by Curtis Creek bridge and odor detected at her house in Tanyard Cove.",2024-03-07,Under Investigation,
232250,2024-03-06,Anne Arundel,,Air,Chemical paint odor from a Company mixing paint and painting inside Apartment building.,2024-03-07,Incident Closed-No Violation Observed,2024-03-07
232240,2024-03-03,Wicomico,21804,Open Burning,Open burning branches causing nuisance,2024-03-04,Under Investigation,
232216,2024-03-01,Dorchester,21835,Odor,Odor Complaint,2024-03-01,Incident Closed - No further action,2024-03-01
232215,2024-03-01,Dorchester,21835,Odor,Odor Complaint,2024-03-01,Incident Closed - No further action,2024-03-01
232214,2024-02-26,Dorchester,21835,Odor,Odor Complaint,2024-02-26,Incident Closed - No further action,2024-02-26
232205,2024-02-29,Carroll,,"Air, Smoke",Neighbor's fireplace is producing large amounts of smoke. Smoke enters into home and onto property. Concerned due to existing health issues.,2024-02-29,Referred to Outside Agency,
232204,2024-02-28,Prince George's,,Other,Concern of loud boom noise in the Cheverly area,2024-02-28,Incident Closed-Managed,2024-03-01
232203,2024-03-01,Anne Arundel,,Air,Complainant describes a foul dead animal odor detected today.  She noticed odor at 8:45am when going outside and still lasting beyond notifying the Department today.,2024-03-01,Under Investigation,
232193,2024-02-27,Prince George's,20735,Other,Concern of neighbor painting cars,2024-02-27,Incident Closed-Managed,2024-02-28
232191,2024-02-28,Frederick,,Air,Dust from sandblasting vehicles.  Permit for sandblasting vehicles and dust control equipment remains outstanding issues.,2024-02-28,Referred to Attorney General's Office,
232190,2024-02-28,Charles,,Air,Overspray.  Second complaint received.  No filters on exhaust.,2024-02-28,Under Investigation,
232188,2024-02-26,,21226,Smoke,Black smoke coming from the facility,2024-02-27,Under Investigation,
232187,2024-02-27,Anne Arundel,21403,Air,Complainant detects smoke odor from firepit at 1158 Bay Highlands Drive.  The police and the fire department have responded to his calls.  The authorities advised him to seek medical attention if his throat was hurting.,2024-02-27,Incident Closed-No Violation Observed,2024-02-28
232186,2024-02-26,Anne Arundel,21226,Odor,Odor Complaint,2024-02-26,Incident Closed - No further action,2024-02-26
232176,2024-02-26,Anne Arundel,,Air,Hydrogen sulfide odor,2024-02-26,Under Investigation,
232175,2024-02-23,Anne Arundel,,Air,smoke odor,2024-02-23,Incident Closed-No Violation Observed,2024-02-27
232169,2024-02-22,Anne Arundel,21122,Air,Apartment renovations next door to her unit.  All appliances and interior fixtures removed.  Concern of asbestos.  Complainant detected an industrial odor.,2024-02-22,Incident Closed-No Violation Observed,2024-02-23
222175,2024-02-20,Montgomery,20788,"Air, Other",Drywall dust coming into apartment unit from HVAC system. Causing severe respiratory health problems.,2024-02-20,Referred to Outside Agency,
222174,2024-02-21,,21226,Smoke,Black smoke observed coming from the roof of Curtis Bay Energy.  Video of incident was sent.,2024-02-22,Under Investigation,
222158,2024-02-20,Worcester,21842,Fugitive Dust/Particulate Matter,Dust and particles from sandblasting.,2024-02-20,Referred to Outside Agency,
222156,2024-02-15,Baltimore,21223,Air,Mold inside her apartment.,2024-02-15,Incident Closed-No Violation Observed,2024-02-16
222155,2024-02-14,Frederick,,Air,Spray paint and dust from sand blasting of commercial vehicles.  Permit for sandblasting and dust control equipment remains outstanding.  Three pallets of 50lb. bags of silica sand brought in today.,2024-02-14,Referred to Attorney General's Office,
222150,2024-02-09,Cecil,21921,"Air, Open Burning",Private residence on Carters Mill Road is operating an illegal salvage yard on the property. Ongoing open burning of materials.,2024-02-16,Referred to LMA,
222149,2024-02-15,Allegany,21532,Fugitive Dust/Particulate Matter,Dust,2024-02-15,Under Investigation,
222148,2024-02-09,Baltimore City,,Odor,there is a garbage related odor in the Curtis Bay area.,2024-02-09,Incident Closed-Managed,2024-02-16
222147,2024-02-09,Baltimore City,,Odor,He smells an industrial odor in the residential neighborhood.,2024-02-09,Incident Closed-Managed,2024-02-16
222146,2024-02-08,Baltimore City,,Odor,He smells an industrial odor in the residential neighborhood.,2024-02-08,Incident Closed-Managed,2024-02-16
222145,2024-02-07,Baltimore City,,Odor,He smells an industrial odor in the residential neighborhood.,2024-02-07,Incident Closed-Managed,2024-02-16
222144,2024-02-06,Baltimore City,,Odor,There is a burnt tire odor in the area.,2024-02-06,Incident Closed-Managed,2024-02-16
222143,2024-02-02,Baltimore City,,Smoke,Smoke from neighborhood school.,2024-02-02,Incident Closed-Managed,2024-02-16
222142,2024-02-05,Baltimore,,Odor,There is a garlic related odor in the area.,2024-02-05,Incident Closed-Managed,2024-02-16
222141,2024-02-05,Baltimore City,,Odor,He smells an industrial odor in the residential neighborhood.,2024-02-05,Incident Closed-Managed,2024-02-16
222140,2024-02-02,Baltimore,,Odor,skunk like odors is coming from a marijuana farm.,2024-02-02,Incident Closed-Managed,2024-02-16
222139,2024-02-03,Worcester,21851,Fugitive Dust/Particulate Matter,Dust nuisance from grading dirt racetrack.,2024-02-05,Incident Closed-Restored,2024-02-22
222138,2024-02-07,Cecil,21921,"Air, Open Burning",Private residence on Carters Mill Road is operating an illegal salvage yard on the property. Ongoing open burning of materials.,2024-02-07,Referred to LMA,
222122,2024-02-14,Charles,20601,Air,spray paint odor,2024-02-14,Clean-up Initiated,
222121,2024-02-06,,21226,Smoke,Smoke from Curtis Bay Energy,2024-02-06,Under Investigation,
222116,2024-02-08,Baltimore City,21226,Odor,"Dispatch # 2024-0075
Incident #222116
Complainant reporting smell.
Maybe coming from Valley Proteins. Smell will make you sick to your stomach.",2024-02-13,Incident Closed-Managed,2024-02-14
222114,2024-02-12,Allegany,21532,Fugitive Dust/Particulate Matter,Dust from Road Treatment (for snow),2024-02-12,Incident Closed - No further action,2024-02-16
222112,2023-12-22,Cecil,21901,"Air, Fumes",Neighbor is painting cars in yard. Conducting business in a residential area. Dumping excess paint in river behind property.,2024-02-09,Referred to Outside Agency,
222111,2024-02-03,Prince George's,20785,Other,Concern of coffee smell in the Cheverly area.,2024-02-03,Incident Closed-Managed,2024-02-12
222110,2024-02-10,Prince George's,,Other,Concern of loud explosion in Cheverly area,2024-02-10,Incident Closed-Managed,2024-02-12
222109,2024-02-09,Prince George's,,Other,Concern of neighbor burning wet wood,2024-02-09,Incident Closed-Managed,2024-02-12
222108,2024-02-09,Anne Arundel,21090,Air,"Rotten, foul seafood or rotten poultry odor.  Odor like a dead animal.",2024-02-09,Incident Closed-No Violation Observed,2024-02-14
222107,2024-02-09,Anne Arundel,21090,Air,"Rotten, foul seafood or rotten poultry or dead animal odor in Northern Anne Arundel and Curtis Bay areas.",2024-02-09,Incident Closed-No Violation Observed,2024-02-14
222106,2023-12-26,Talbot,21652,Odor,Excessive idling of diesel boats causing excessive smell of diesel.,2024-02-09,Referred to WMA,
222096,2024-02-06,Anne Arundel,21113,Air,Smoke from burning leaves in firepit,2024-02-06,Incident Closed-No Violation Observed,2024-02-08
222094,2024-01-27,Baltimore City,,Odor,He smells an industrial odor in the residential neighborhood.,2024-01-27,Incident Closed-Managed,2024-02-08
222093,2024-01-26,Baltimore City,,Odor,He smells an industrial odor in the residential neighborhood.,2024-02-26,Incident Closed-Managed,2024-02-08
222092,2024-01-26,Baltimore City,,Odor,Strong garbage odor in the area of Curtis Bay.,2024-01-26,Incident Closed-Managed,2024-02-08
222091,2024-01-26,Baltimore City,,Smoke,Smoke from a business getting into the neighborhood.,2024-01-26,Incident Closed-Managed,2024-02-08
222090,2024-01-25,Baltimore City,,Odor,He smells an industrial odor in the residential neighborhood.,2024-01-25,Incident Closed-Managed,2024-02-08
222089,2024-01-23,Baltimore City,,Odor,He smells an industrial odor in the air at his business.,2024-01-23,Incident Closed-Managed,2024-02-08
222088,2024-01-19,Baltimore City,,Odor,He smells an industrial odor in the residential neighborhood.,2024-01-19,Incident Closed-Managed,2024-02-08
222087,2024-01-16,Baltimore City,,Odor,He smells an industrial odor in the residential neighborhood.,2024-01-16,Incident Closed-Managed,2024-02-08
222086,2024-01-11,Baltimore City,,Odor,"Neighbor is synthesizing illegal drugs, and she can smell the chemical reaction. Also, odors of the drugs being used.",2024-01-11,Incident Closed-Managed,2024-02-08
222085,2024-02-06,,21226,Smoke,"2024-0063
Black smoke coming from Curtis Bay Energy.  Photo sent.",2024-02-06,Under Investigation,
